Source,Target,Type,Id,Label,timeset,Weight
charts/charindex.html,PDF/U10450.pdf,Directed,24245,,,1
charts/index.html,PDF/U10450.pdf,Directed,24246,,,1
charts/,PDF/U10480.pdf,Directed,24247,,,1
charts/charindex.html,PDF/U10480.pdf,Directed,24248,,,3
charts/index.html,PDF/U10480.pdf,Directed,24251,,,1
charts/,PDF/U104B0.pdf,Directed,24252,,,1
charts/charindex.html,PDF/U104B0.pdf,Directed,24253,,,1
charts/index.html,PDF/U104B0.pdf,Directed,24254,,,1
charts/,PDF/U10500.pdf,Directed,24255,,,1
charts/charindex.html,PDF/U10500.pdf,Directed,24256,,,1
charts/index.html,PDF/U10500.pdf,Directed,24257,,,1
charts/,PDF/U10530.pdf,Directed,24258,,,1
charts/charindex.html,PDF/U10530.pdf,Directed,24259,,,1
charts/index.html,PDF/U10530.pdf,Directed,24260,,,1
charts/,PDF/U10600.pdf,Directed,24261,,,1
charts/charindex.html,PDF/U10600.pdf,Directed,24262,,,1
charts/index.html,PDF/U10600.pdf,Directed,24263,,,1
charts/,PDF/U10800.pdf,Directed,24264,,,1
charts/charindex.html,PDF/U10800.pdf,Directed,24265,,,2
charts/index.html,PDF/U10800.pdf,Directed,24267,,,1
charts/,PDF/U10840.pdf,Directed,24268,,,1
charts/charindex.html,PDF/U10840.pdf,Directed,24269,,,2
charts/index.html,PDF/U10840.pdf,Directed,24271,,,1
charts/,PDF/U10860.pdf,Directed,24272,,,1
charts/charindex.html,PDF/U10860.pdf,Directed,24273,,,1
charts/index.html,PDF/U10860.pdf,Directed,24274,,,1
charts/,PDF/U10880.pdf,Directed,24275,,,1
charts/charindex.html,PDF/U10880.pdf,Directed,24276,,,1
charts/index.html,PDF/U10880.pdf,Directed,24277,,,1
charts/,PDF/U108E0.pdf,Directed,24278,,,1
charts/charindex.html,PDF/U108E0.pdf,Directed,24279,,,1
charts/index.html,PDF/U108E0.pdf,Directed,24280,,,1
charts/,PDF/U10900.pdf,Directed,24281,,,1
charts/charindex.html,PDF/U10900.pdf,Directed,24282,,,1
charts/index.html,PDF/U10900.pdf,Directed,24283,,,1
charts/,PDF/U10920.pdf,Directed,24284,,,1
charts/charindex.html,PDF/U10920.pdf,Directed,24285,,,1
charts/index.html,PDF/U10920.pdf,Directed,24286,,,1
charts/,PDF/U10980.pdf,Directed,24287,,,1
charts/charindex.html,PDF/U10980.pdf,Directed,24288,,,1
charts/index.html,PDF/U10980.pdf,Directed,24289,,,1
charts/,PDF/U109A0.pdf,Directed,24290,,,1
charts/charindex.html,PDF/U109A0.pdf,Directed,24291,,,1
charts/index.html,PDF/U109A0.pdf,Directed,24292,,,1
charts/,PDF/U10A0.pdf,Directed,24293,,,1
charts/charindex.html,PDF/U10A0.pdf,Directed,24294,,,14
charts/index.html,PDF/U10A0.pdf,Directed,24308,,,1
charts/,PDF/U10A00.pdf,Directed,24309,,,1
charts/charindex.html,PDF/U10A00.pdf,Directed,24310,,,3
charts/index.html,PDF/U10A00.pdf,Directed,24313,,,1
charts/,PDF/U10A60.pdf,Directed,24314,,,1
charts/charindex.html,PDF/U10A60.pdf,Directed,24315,,,1
charts/index.html,PDF/U10A60.pdf,Directed,24316,,,1
charts/,PDF/U10A80.pdf,Directed,24317,,,1
charts/charindex.html,PDF/U10A80.pdf,Directed,24318,,,1
charts/index.html,PDF/U10A80.pdf,Directed,24319,,,1
charts/,PDF/U10AC0.pdf,Directed,24320,,,1
charts/charindex.html,PDF/U10AC0.pdf,Directed,24321,,,1
charts/index.html,PDF/U10AC0.pdf,Directed,24322,,,1
charts/,PDF/U10B00.pdf,Directed,24323,,,1
charts/charindex.html,PDF/U10B00.pdf,Directed,24324,,,1
charts/index.html,PDF/U10B00.pdf,Directed,24325,,,1
charts/,PDF/U10B40.pdf,Directed,24326,,,1
charts/charindex.html,PDF/U10B40.pdf,Directed,24327,,,1
charts/index.html,PDF/U10B40.pdf,Directed,24328,,,1
charts/,PDF/U10B60.pdf,Directed,24329,,,1
charts/charindex.html,PDF/U10B60.pdf,Directed,24330,,,1
charts/index.html,PDF/U10B60.pdf,Directed,24331,,,1
charts/,PDF/U10B80.pdf,Directed,24332,,,1
charts/charindex.html,PDF/U10B80.pdf,Directed,24333,,,1
charts/index.html,PDF/U10B80.pdf,Directed,24334,,,1
charts/,PDF/U10C00.pdf,Directed,24335,,,1
charts/charindex.html,PDF/U10C00.pdf,Directed,24336,,,1
charts/index.html,PDF/U10C00.pdf,Directed,24337,,,1
charts/,PDF/U10C80.pdf,Directed,24338,,,1
charts/charindex.html,PDF/U10C80.pdf,Directed,24339,,,2
charts/index.html,PDF/U10C80.pdf,Directed,24341,,,1
charts/,PDF/U10D00.pdf,Directed,24342,,,1
charts/charindex.html,PDF/U10D00.pdf,Directed,24343,,,2
charts/index.html,PDF/U10D00.pdf,Directed,24345,,,1
charts/,PDF/U10E60.pdf,Directed,24346,,,1
charts/charindex.html,PDF/U10E60.pdf,Directed,24347,,,2
charts/index.html,PDF/U10E60.pdf,Directed,24349,,,1
charts/,PDF/U10F00.pdf,Directed,24350,,,1
charts/charindex.html,PDF/U10F00.pdf,Directed,24351,,,2
charts/index.html,PDF/U10F00.pdf,Directed,24353,,,1
charts/,PDF/U10F30.pdf,Directed,24354,,,1
charts/charindex.html,PDF/U10F30.pdf,Directed,24355,,,1
charts/index.html,PDF/U10F30.pdf,Directed,24356,,,1
charts/,PDF/U10FF80.pdf,Directed,24357,,,1
charts/index.html,PDF/U10FF80.pdf,Directed,24358,,,1
charts/,PDF/U1100.pdf,Directed,24359,,,1
charts/charindex.html,PDF/U1100.pdf,Directed,24360,,,7
charts/index.html,PDF/U1100.pdf,Directed,24367,,,1
charts/,PDF/U11000.pdf,Directed,24368,,,1
charts/charindex.html,PDF/U11000.pdf,Directed,24369,,,1
charts/index.html,PDF/U11000.pdf,Directed,24370,,,1
charts/,PDF/U11080.pdf,Directed,24371,,,1
charts/charindex.html,PDF/U11080.pdf,Directed,24372,,,1
charts/index.html,PDF/U11080.pdf,Directed,24373,,,1
charts/,PDF/U110D0.pdf,Directed,24374,,,1
charts/charindex.html,PDF/U110D0.pdf,Directed,24375,,,1
charts/index.html,PDF/U110D0.pdf,Directed,24376,,,1
charts/,PDF/U11100.pdf,Directed,24377,,,1
charts/charindex.html,PDF/U11100.pdf,Directed,24378,,,1
charts/index.html,PDF/U11100.pdf,Directed,24379,,,1
charts/,PDF/U11150.pdf,Directed,24380,,,1
charts/charindex.html,PDF/U11150.pdf,Directed,24381,,,1
charts/index.html,PDF/U11150.pdf,Directed,24382,,,1
charts/,PDF/U11180.pdf,Directed,24383,,,1
charts/charindex.html,PDF/U11180.pdf,Directed,24384,,,1
charts/index.html,PDF/U11180.pdf,Directed,24385,,,1
charts/,PDF/U111E0.pdf,Directed,24386,,,2
charts/charindex.html,PDF/U111E0.pdf,Directed,24388,,,1
charts/index.html,PDF/U111E0.pdf,Directed,24389,,,2
charts/,PDF/U11200.pdf,Directed,24391,,,1
charts/charindex.html,PDF/U11200.pdf,Directed,24392,,,1
charts/index.html,PDF/U11200.pdf,Directed,24393,,,1
charts/,PDF/U11280.pdf,Directed,24394,,,1
charts/charindex.html,PDF/U11280.pdf,Directed,24395,,,1
charts/index.html,PDF/U11280.pdf,Directed,24396,,,1
charts/,PDF/U112B0.pdf,Directed,24397,,,1
charts/charindex.html,PDF/U112B0.pdf,Directed,24398,,,1
charts/index.html,PDF/U112B0.pdf,Directed,24399,,,1
charts/,PDF/U11300.pdf,Directed,24400,,,1
charts/charindex.html,PDF/U11300.pdf,Directed,24401,,,1
charts/index.html,PDF/U11300.pdf,Directed,24402,,,1
charts/,PDF/U11400.pdf,Directed,24403,,,1
charts/charindex.html,PDF/U11400.pdf,Directed,24404,,,1
charts/index.html,PDF/U11400.pdf,Directed,24405,,,1
charts/,PDF/U11480.pdf,Directed,24406,,,1
charts/charindex.html,PDF/U11480.pdf,Directed,24407,,,1
charts/index.html,PDF/U11480.pdf,Directed,24408,,,1
charts/,PDF/U11580.pdf,Directed,24409,,,1
charts/charindex.html,PDF/U11580.pdf,Directed,24410,,,1
charts/index.html,PDF/U11580.pdf,Directed,24411,,,1
charts/,PDF/U11600.pdf,Directed,24412,,,1
charts/charindex.html,PDF/U11600.pdf,Directed,24413,,,1
charts/index.html,PDF/U11600.pdf,Directed,24414,,,1
charts/,PDF/U11660.pdf,Directed,24415,,,1
charts/charindex.html,PDF/U11660.pdf,Directed,24416,,,1
charts/index.html,PDF/U11660.pdf,Directed,24417,,,1
charts/,PDF/U11680.pdf,Directed,24418,,,1
charts/charindex.html,PDF/U11680.pdf,Directed,24419,,,1
charts/index.html,PDF/U11680.pdf,Directed,24420,,,1
charts/,PDF/U11700.pdf,Directed,24421,,,1
charts/charindex.html,PDF/U11700.pdf,Directed,24422,,,1
charts/index.html,PDF/U11700.pdf,Directed,24423,,,1
charts/,PDF/U11800.pdf,Directed,24424,,,1
charts/charindex.html,PDF/U11800.pdf,Directed,24425,,,1
charts/index.html,PDF/U11800.pdf,Directed,24426,,,1
