Source,Target
consortium/memoriam.html,acknowledgements/
sitemap/,acknowledgements/
versions/latest/,acknowledgements/
unicode.org,acknowledgements/
unicode.org,acknowledgements/
acknowledgements/,acknowledgements/bulldog.html
conference/about-conf.html,acknowledgements/bulldog.html
consortium/consort.html,acknowledgements/bulldog.html
consortium/memoriam.html,acknowledgements/bulldog.html
acknowledgements/grants.html,acknowledgements/grants.html
acknowledgements/grants.html,acknowledgements/grants.html
acknowledgements/,acknowledgements/grants.html
consortium/donations.html,acknowledgements/grants.html
unicode.org,acknowledgements/grants.html
unicode.org,acknowledgements/grants.html
acknowledgements/,acknowledgements/members-staff.html
acknowledgements/grants.html,acknowledgements/members-staff.html
acknowledgements/,acknowledgements/sei.html
acknowledgements/grants.html,acknowledgements/sei.html
acknowledgements/,acknowledgements/standard.html
acknowledgements/grants.html,acknowledgements/standard.html
acknowledgements/,acknowledgements/standardorg.html
acknowledgements/grants.html,acknowledgements/standardorg.html
timesens/logistics-mongolian.html,adobe-sjmap.pdf
timesens/logistics-utc155.html,adobe-sjmap.pdf
consortium/adopt-a-character.html,adopted-characters.html
consortium/adopt-a-character.html,adopted-characters.html
consortium/adopt-a-character.html,adopted-characters.html
consortium/adopt-a-character.html,adopted-characters.html
consortium/adopt-a-character.html,adopted-characters.html
consortium/adopt-a-character.html,adopted-characters.html
udhr/,aggregates.html
udhr/,aggregates.html
alloc/Pipeline.html,alloc/about.html
alloc/Pipeline.html,alloc/about.html
faq/char_proposal.html,alloc/about.html
pending/pending.html,alloc/about.html
pending/pending.html,alloc/about.html
alloc/Pipeline.html,alloc/ISOStages.html
alloc/Pipeline.html,alloc/ISOStages.html
alloc/Pipeline.html,alloc/ISOStages.html
alloc/Pipeline.html,alloc/ISOStages.html
pending/pending.html,alloc/ISOStages.html
pending/pending.html,alloc/ISOStages.html
alloc/Pipeline.html,alloc/nonapprovals.html
pending/proposals.html,alloc/nonapprovals.html
pending/proposals.html,alloc/nonapprovals.html
sitemap/,alloc/nonapprovals.html
sitemap/,alloc/nonapprovals.html
alloc/Pipeline.html,alloc/Pipeline.html
alloc/Pipeline.html,alloc/Pipeline.html
alloc/Pipeline.html,alloc/Pipeline.html
alloc/Pipeline.html,alloc/Pipeline.html
alloc/Pipeline.html,alloc/Pipeline.html
alloc/Pipeline.html,alloc/Pipeline.html
alloc/Pipeline.html,alloc/Pipeline.html
alloc/Pipeline.html,alloc/Pipeline.html
alloc/Pipeline.html,alloc/Pipeline.html
faq/char_proposal.html,alloc/Pipeline.html
faq/prop_new_characters.html,alloc/Pipeline.html
L2/index.html,alloc/Pipeline.html
pending/docsubmit.html,alloc/Pipeline.html
pending/pending.html,alloc/Pipeline.html
pending/pending.html,alloc/Pipeline.html
pending/proposals.html,alloc/Pipeline.html
pending/proposals.html,alloc/Pipeline.html
pending/proposals.html,alloc/Pipeline.html
pending/proposals.html,alloc/Pipeline.html
pending/proposals.html,alloc/Pipeline.html
roadmaps,alloc/Pipeline.html
sitemap/,alloc/Pipeline.html
sitemap/,alloc/Pipeline.html
standard/supported.html,alloc/Pipeline.html
